measure,area,year_ending_june_2025,year_ending_june_2026,change_pct,source
Rape and attempted rape (recorded),Glasgow City,488,485,-0.6,Scottish Government Recorded Crime year ending June 2026 Table 1
Sexual assault (recorded),Glasgow City,739,761,3.0,Scottish Government Recorded Crime year ending June 2026 Table 1
All sexual crimes (recorded),Glasgow City,2271,2480,9.2,Scottish Government Recorded Crime year ending June 2026 Table 1
Causing to view sexual activity or images,Glasgow City,307,400,30.3,Scottish Government Recorded Crime year ending June 2026 Table 1
Communicating indecently,Glasgow City,304,371,22.0,Scottish Government Recorded Crime year ending June 2026 Table 1
Rape and attempted rape (recorded),Scotland,3004,3240,7.9,Scottish Government Recorded Crime year ending June 2026 Table 1
Sexual assault (recorded),Scotland,5108,5281,3.4,Scottish Government Recorded Crime year ending June 2026 Table 1
All sexual crimes (recorded),Scotland,15129,16560,9.5,Scottish Government Recorded Crime year ending June 2026 Table 1
Rape recorded Apr-Jun,Glasgow City,117,108,-7.7,Police Scotland Q1 2026/27 management information (2025/26 vs 2026/27)
Sexual assault recorded Apr-Jun,Glasgow City,179,192,7.3,Police Scotland Q1 2026/27 management information (2025/26 vs 2026/27)
Home Office supported asylum seekers (stock at end June),Glasgow City,3844,3938,2.4,Home Office asylum support local authority datasets June 2026
Refugee household homelessness applications (financial year),Glasgow City,2750,3500 (council projection),27,Glasgow HSCP Strategic Plan Monitoring Report April 2026 p.27
of which travelled to Glasgow after leave to remain granted outwith the city,Glasgow City,1048,about 900 (council projection),-14,Glasgow HSCP annual report 2024/25 s.2.6.4; Strategic Plan Monitoring April 2026 p.27
International in-migration (year ending June),Glasgow City,20730 (YE Jun 2024),15160 (YE Jun 2025),-27,NRS international migration mid-2002 to mid-2025
National Insurance registrations to overseas adults (financial year),Glasgow City,9986 (2024/25),9652 (2025/26),-3.3,DWP Stat-Xplore NINo registrations to March 2026
Small boat arrivals UK (calendar year),United Kingdom,36816 (2024),41472 (2025); 11884 (Jan-Jun 2026),12.6,Home Office irregular migration dataset June 2026 IER_D01
