crime,fy,quarter,year,order,count
Rape,2020/21,Oct-Dec,2020,8082,72
Rape,2020/21,Jan-Mar,2021,8083,86
Rape,2021/22,Apr-Jun,2021,8084,80
Rape,2021/22,Jul-Sep,2021,8085,87
Rape,2021/22,Oct-Dec,2021,8086,78
Rape,2021/22,Jan-Mar,2022,8087,88
Rape,2022/23,Apr-Jun,2022,8088,72
Rape,2022/23,Jul-Sep,2022,8089,72
Rape,2022/23,Oct-Dec,2022,8090,78
Rape,2022/23,Jan-Mar,2023,8091,70
Rape,2023/24,Apr-Jun,2023,8092,80
Rape,2023/24,Jul-Sep,2023,8093,79
Rape,2023/24,Oct-Dec,2023,8094,94
Rape,2023/24,Jan-Mar,2024,8095,96
Rape,2024/25,Apr-Jun,2024,8096,118
Rape,2024/25,Jul-Sep,2024,8097,118
Rape,2024/25,Oct-Dec,2024,8098,121
Rape,2024/25,Jan-Mar,2025,8099,111
Rape,2025/26,Apr-Jun,2025,8100,117
Rape,2025/26,Jul-Sep,2025,8101,136
Rape,2025/26,Oct-Dec,2025,8102,90
Rape,2025/26,Jan-Mar,2026,8103,130
Rape,2026/27,Apr-Jun,2026,8104,108
Sexual assault,2020/21,Oct-Dec,2020,8082,115
Sexual assault,2020/21,Jan-Mar,2021,8083,132
Sexual assault,2021/22,Apr-Jun,2021,8084,138
Sexual assault,2021/22,Jul-Sep,2021,8085,220
Sexual assault,2021/22,Oct-Dec,2021,8086,198
Sexual assault,2021/22,Jan-Mar,2022,8087,203
Sexual assault,2022/23,Apr-Jun,2022,8088,191
Sexual assault,2022/23,Jul-Sep,2022,8089,176
Sexual assault,2022/23,Oct-Dec,2022,8090,174
Sexual assault,2022/23,Jan-Mar,2023,8091,194
Sexual assault,2023/24,Apr-Jun,2023,8092,185
Sexual assault,2023/24,Jul-Sep,2023,8093,158
Sexual assault,2023/24,Oct-Dec,2023,8094,152
Sexual assault,2023/24,Jan-Mar,2024,8095,154
Sexual assault,2024/25,Apr-Jun,2024,8096,227
Sexual assault,2024/25,Jul-Sep,2024,8097,197
Sexual assault,2024/25,Oct-Dec,2024,8098,210
Sexual assault,2024/25,Jan-Mar,2025,8099,157
Sexual assault,2025/26,Apr-Jun,2025,8100,179
Sexual assault,2025/26,Jul-Sep,2025,8101,198
Sexual assault,2025/26,Oct-Dec,2025,8102,189
Sexual assault,2025/26,Jan-Mar,2026,8103,183
Sexual assault,2026/27,Apr-Jun,2026,8104,192
