ward,fy_2022_23,fy_2023_24,fy_2024_25,fy_2025_26,change_23_24_to_24_25
Anderston/City/Yorkhill,430,354,458,349,104
Southside Central,81,99,141,109,42
Calton,142,127,166,112,39
Drumchapel/Anniesland,74,66,96,65,30
Maryhill,60,50,73,45,23
East Centre,63,75,97,85,22
Linn,70,57,73,49,16
Dennistoun,53,63,79,53,16
Langside,57,48,63,52,15
Hillhead,98,63,76,70,13
Victoria Park,43,30,41,35,11
Partick East/Kelvindale,61,57,66,33,9
Pollokshields,66,70,79,119,9
Canal,68,88,97,63,9
Springburn/Robroyston,70,81,88,76,7
Newlands/Auldburn,55,73,76,46,3
Garscadden/Scotstounhill,59,52,54,50,2
Cardonald,80,64,65,58,1
Govan,114,132,131,91,-1
Other / Unknown,31,19,18,20,-1
North East - Glasgow,60,64,60,60,-4
Greater Pollok,86,96,87,83,-9
Baillieston,29,47,36,46,-11
Shettleston,69,99,73,65,-26
