Indicators_Information_Code,LA_Information_LocalAuthority,LA_Data_LGBF_Year,LA_Data_LA_IndicatorReal,LA_Data_LA_Numerator_real,LA_Data_LA_Den_Real,Scotland_Data_Scotland_Indicator_Real,Scotland_Data_Scotland_Num_Real,Scotland_Data_Scotland_Den_Real,FG_Data_FG_Avg_Indicator_Real,FG_Data_FG_Avg_Num_Real,FG_Data_FG_Avg_Den_Real,FG_Data_FamilyGroup
CHN01,Aberdeen City,2010-11,7180.0328,85442.3234,11900,6989.0223,2553272.6237,365326,7024.275825,116647.722425,16819.375,Urban
CHN01,Aberdeen City,2011-12,6916.4018,82685.5404,11955,6753.6894,2474748.2328,366429,6694.2383375,112499.2786,16944,Urban
CHN01,Aberdeen City,2012-13,6907.0704,84625.4148,12252,6587.1357,2441717.5695,370680,6514.578925,112069.7629625,17237.75,Urban
CHN01,Aberdeen City,2013-14,6641.9522,84007.4894,12648,6428.3648,2425947.9205,377382,6332.440825,109995.2518625,17670,Urban
CHN01,Aberdeen City,2014-15,7019.5633,91563.2073,13044,6241.2162,2404189.8682,385212,6231.056375,110554.441475,18156.875,Urban
CHN01,Aberdeen City,2015-16,6777.6182,90501.6137,13353,6287.2569,2459246.7832,391148,6157.90275,112876.5241875,18512.75,Urban
CHN01,Aberdeen City,2016-17,6495.1801,89009.8862,13704,6288.7568,2494731.0164,396697,6169.600925,114184.6337,18888.75,Urban
CHN01,Aberdeen City,2017-18,6677.6937,92973.552,13923,6446.8123,2580737.0109,400312,6295.76455,119323.4197875,19137.5,Urban
CHN01,Aberdeen City,2018-19,6534.1925,91472.0916,13999,6616.1587,2648288.7642,400276,6462.6869875,124236.625775,19183.875,Urban
CHN01,Aberdeen City,2019-20,6614.2694,92037.6274,13915,6912.8907,2756821.165,398794,6826.3428,130648.9294125,19128.5,Urban
CHN01,Aberdeen City,2020-21,6931.5676,96785.5104,13963,7100.969,2797477.312,393957,6980.3862125,130862.7832375,18873.625,Urban
CHN01,Aberdeen City,2021-22,6902.5267,97215.1307,14084,7403.5578,2889707.025,390313,7329.483,135760.917175,18636.625,Urban
CHN01,Aberdeen City,2022-23,6979.6536,101714.5652,14573,7466.9827,2904060.3296,388920,7352.310325,135125.5794,18649.25,Urban
CHN01,Aberdeen City,2023-24,6845.4154,103605.2899,15135,7480.2687,2877846.6171,384725,7355.2406125,132473.3002125,18557.5,Urban
CHN01,Aberdeen City,2024-25,7243.79,108425,14968,7605.71,2885257,379354,7458.48375,133481.625,18347,Urban
CHN01,Aberdeenshire,2010-11,7014.4836,134067.7888,19113,6989.0223,2553272.6237,365326,9322.1305125,63604.7952375,8106.25,Rural
CHN01,Aberdeenshire,2011-12,6484.2737,123642.115,19068,6753.6894,2474748.2328,366429,9081.6693875,61669.7680375,8109.875,Rural
CHN01,Aberdeenshire,2012-13,6509.7502,125527.629,19283,6587.1357,2441717.5695,370680,8902.84175,60491.1790125,8141.75,Rural
CHN01,Aberdeenshire,2013-14,6587.351,131061.9459,19896,6428.3648,2425947.9205,377382,8776.9645375,61020.1660125,8266.75,Rural
CHN01,Aberdeenshire,2014-15,6484.6204,133051.461,20518,6241.2162,2404189.8682,385212,8294.6684,59509.0872875,8413.125,Rural
CHN01,Aberdeenshire,2015-16,6781.0527,140272.757,20686,6287.2569,2459246.7832,391148,8304.64665,60843.12795,8487.375,Rural
CHN01,Aberdeenshire,2016-17,6764.3321,141286.4903,20887,6288.7568,2494731.0164,396697,8292.30295,60300.627825,8525.625,Rural
CHN01,Aberdeenshire,2017-18,6747.6722,142294.9191,21088,6446.8123,2580737.0109,400312,8444.958025,62004.092125,8581.375,Rural
CHN01,Aberdeenshire,2018-19,6839.441,143778.7214,21022,6616.1587,2648288.7642,400276,8422.9760625,61024.2432875,8528.625,Rural
CHN01,Aberdeenshire,2019-20,7045.903,147844.1121,20983,6912.8907,2756821.165,398794,8749.83515,62977.0133875,8471.5,Rural
CHN01,Aberdeenshire,2020-21,7290.9919,152884.9288,20969,7100.969,2797477.312,393957,8901.713575,63981.4784625,8345.375,Rural
CHN01,Aberdeenshire,2021-22,7258.3029,150979.9912,20801,7403.5578,2889707.025,390313,9154.0163625,64713.7432375,8267.375,Rural
CHN01,Aberdeenshire,2022-23,6848.7196,142898.626,20865,7466.9827,2904060.3296,388920,9366.9913,64591.8983375,8205.75,Rural
CHN01,Aberdeenshire,2023-24,7038.3467,144645.0552,20551,7480.2687,2877846.6171,384725,9579.6784125,65042.4259375,8057.625,Rural
CHN01,Aberdeenshire,2024-25,7131.89,143408,20108,7605.71,2885257,379354,9902.5075,65055.75,7866,Rural
CHN01,Angus,2010-11,6768.7725,57135.2475,8441,6989.0223,2553272.6237,365326,6512.2196875,66397.180575,10327.375,3
CHN01,Angus,2011-12,6614.9283,55704.2861,8421,6753.6894,2474748.2328,366429,6314.49645,64674.65325,10304.75,3
CHN01,Angus,2012-13,6359.3951,54016.6668,8494,6587.1357,2441717.5695,370680,6197.254525,64735.5447,10410,3
CHN01,Angus,2013-14,6193.6247,52862.5704,8535,6428.3648,2425947.9205,377382,6108.301,65307.5052375,10540.25,3
CHN01,Angus,2014-15,6313.9629,54603.1225,8648,6241.2162,2404189.8682,385212,5987.2383625,64693.6051375,10692.5,3
CHN01,Angus,2015-16,6348.6639,54909.5599,8649,6287.2569,2459246.7832,391148,6020.6137875,66198.707725,10851.875,3
CHN01,Angus,2016-17,6559.101,56782.1236,8657,6288.7568,2494731.0164,396697,6227.2922375,68316.299525,10978.25,3
CHN01,Angus,2017-18,6572.6029,57214.4935,8705,6446.8123,2580737.0109,400312,6381.08205,70813.9972625,11103.5,3
CHN01,Angus,2018-19,6400.5925,56434.0368,8817,6616.1587,2648288.7642,400276,6514.5309875,73070.4720375,11123.125,3
CHN01,Angus,2019-20,6753.4806,59011.9407,8738,6912.8907,2756821.165,398794,6756.6262875,75819.4801875,11131.75,3
CHN01,Angus,2020-21,7146.4732,61102.3577,8550,7100.969,2797477.312,393957,7093.3634625,77825.234575,11029.25,3
CHN01,Angus,2021-22,7352.4639,62076.822,8443,7403.5578,2889707.025,390313,7418.3554875,80827.2236,11014.375,3
CHN01,Angus,2022-23,7148.632,60198.6389,8421,7466.9827,2904060.3296,388920,7406.1565875,82332.2333,11042.625,3
CHN01,Angus,2023-24,7116.5458,59045.9934,8297,7480.2687,2877846.6171,384725,7488.328725,82153.4158875,10980.625,3
CHN01,Angus,2024-25,7485.7,60462,8077,7605.71,2885257,379354,7648.08875,82882,10859.625,3
CHN01,Argyll & Bute,2010-11,8465.8653,49169.7209,5808,6989.0223,2553272.6237,365326,9322.1305125,63604.7952375,8106.25,Rural
CHN01,Argyll & Bute,2011-12,7971.7149,46004.7534,5771,6753.6894,2474748.2328,366429,9081.6693875,61669.7680375,8109.875,Rural
CHN01,Argyll & Bute,2012-13,8042.11,45823.9649,5698,6587.1357,2441717.5695,370680,8902.84175,60491.1790125,8141.75,Rural
CHN01,Argyll & Bute,2013-14,7967.5695,45255.7972,5680,6428.3648,2425947.9205,377382,8776.9645375,61020.1660125,8266.75,Rural
CHN01,Argyll & Bute,2014-15,7616.4338,43946.787,5770,6241.2162,2404189.8682,385212,8294.6684,59509.0872875,8413.125,Rural
CHN01,Argyll & Bute,2015-16,7472.9281,43268.2735,5790,6287.2569,2459246.7832,391148,8304.64665,60843.12795,8487.375,Rural
CHN01,Argyll & Bute,2016-17,7566.5478,43802.7162,5789,6288.7568,2494731.0164,396697,8292.30295,60300.627825,8525.625,Rural
CHN01,Argyll & Bute,2017-18,8567.3736,50179.1187,5857,6446.8123,2580737.0109,400312,8444.958025,62004.092125,8581.375,Rural
CHN01,Argyll & Bute,2018-19,8209.4036,48090.679,5858,6616.1587,2648288.7642,400276,8422.9760625,61024.2432875,8528.625,Rural
CHN01,Argyll & Bute,2019-20,8630.3792,49840.4666,5775,6912.8907,2756821.165,398794,8749.83515,62977.0133875,8471.5,Rural
CHN01,Argyll & Bute,2020-21,8927.666,50111.0152,5613,7100.969,2797477.312,393957,8901.713575,63981.4784625,8345.375,Rural
CHN01,Argyll & Bute,2021-22,9296.673,51206.0757,5508,7403.5578,2889707.025,390313,9154.0163625,64713.7432375,8267.375,Rural
CHN01,Argyll & Bute,2022-23,9467.6944,50974.0905,5384,7466.9827,2904060.3296,388920,9366.9913,64591.8983375,8205.75,Rural
CHN01,Argyll & Bute,2023-24,9910.9229,52200.8476,5267,7480.2687,2877846.6171,384725,9579.6784125,65042.4259375,8057.625,Rural
CHN01,Argyll & Bute,2024-25,10286.38,52800,5133,7605.71,2885257,379354,9902.5075,65055.75,7866,Rural
CHN01,Clackmannanshire,2010-11,6401.4434,24351.0911,3804,6989.0223,2553272.6237,365326,6512.2196875,66397.180575,10327.375,3
CHN01,Clackmannanshire,2011-12,6188.1715,23341.8037,3772,6753.6894,2474748.2328,366429,6314.49645,64674.65325,10304.75,3
CHN01,Clackmannanshire,2012-13,5687.7495,21966.0813,3862,6587.1357,2441717.5695,370680,6197.254525,64735.5447,10410,3
CHN01,Clackmannanshire,2013-14,5308.0511,20812.863,3921,6428.3648,2425947.9205,377382,6108.301,65307.5052375,10540.25,3
CHN01,Clackmannanshire,2014-15,5218.5228,20534.8756,3935,6241.2162,2404189.8682,385212,5987.2383625,64693.6051375,10692.5,3
CHN01,Clackmannanshire,2015-16,5363.1838,21543.9305,4017,6287.2569,2459246.7832,391148,6020.6137875,66198.707725,10851.875,3
CHN01,Clackmannanshire,2016-17,5910.9429,23667.4065,4004,6288.7568,2494731.0164,396697,6227.2922375,68316.299525,10978.25,3
CHN01,Clackmannanshire,2017-18,6276.6074,25614.8191,4081,6446.8123,2580737.0109,400312,6381.08205,70813.9972625,11103.5,3
CHN01,Clackmannanshire,2018-19,6209.7932,25255.2276,4067,6616.1587,2648288.7642,400276,6514.5309875,73070.4720375,11123.125,3
CHN01,Clackmannanshire,2019-20,6798.2165,27165.6547,3996,6912.8907,2756821.165,398794,6756.6262875,75819.4801875,11131.75,3
CHN01,Clackmannanshire,2020-21,7299.2021,28912.1401,3961,7100.969,2797477.312,393957,7093.3634625,77825.234575,11029.25,3
CHN01,Clackmannanshire,2021-22,7753.7024,30200.6718,3895,7403.5578,2889707.025,390313,7418.3554875,80827.2236,11014.375,3
