"DATE_NAME","GEOGRAPHY_NAME","OBS_VALUE"
"2002","Glasgow City",
"2002","Scotland",369.3
"2003","Glasgow City",
"2003","Scotland",381.8
"2004","Glasgow City",
"2004","Scotland",390.6
"2005","Glasgow City",
"2005","Scotland",409.8
"2006","Glasgow City",
"2006","Scotland",427.9
"2007","Glasgow City",
"2007","Scotland",440.9
"2008","Glasgow City",434.1
"2008","Scotland",462.9
"2009","Glasgow City",451.7
"2009","Scotland",471.2
"2010","Glasgow City",452.5
"2010","Scotland",486.6
"2011","Glasgow City",460.0
"2011","Scotland",487.2
"2012","Glasgow City",474.3
"2012","Scotland",498.3
"2013","Glasgow City",483.9
"2013","Scotland",507.9
"2014","Glasgow City",497.1
"2014","Scotland",518.6
"2015","Glasgow City",514.9
"2015","Scotland",527.0
"2016","Glasgow City",522.2
"2016","Scotland",536.0
"2017","Glasgow City",519.7
"2017","Scotland",547.4
"2018","Glasgow City",549.7
"2018","Scotland",562.7
"2019","Glasgow City",566.9
"2019","Scotland",578.3
"2020","Glasgow City",592.5
"2020","Scotland",595.0
"2021","Glasgow City",620.4
"2021","Scotland",619.9
"2022","Glasgow City",635.7
"2022","Scotland",641.3
"2023","Glasgow City",689.0
"2023","Scotland",709.4
"2024","Glasgow City",721.5
"2024","Scotland",740.1
"2025","Glasgow City",745.5
"2025","Scotland",775.6
