"DATE_NAME","GEOGRAPHY_NAME","OBS_VALUE"
"1997","Glasgow City",
"1997","Scotland",301.3
"1998","Glasgow City",
"1998","Scotland",313.8
"1999","Glasgow City",
"1999","Scotland",329.0
"2000","Glasgow City",
"2000","Scotland",338.4
"2001","Glasgow City",
"2001","Scotland",355.1
"2002","Glasgow City",
"2002","Scotland",371.7
"2003","Glasgow City",
"2003","Scotland",381.3
"2004","Glasgow City",
"2004","Scotland",390.4
"2005","Glasgow City",
"2005","Scotland",408.6
"2006","Glasgow City",
"2006","Scotland",428.1
"2007","Glasgow City",
"2007","Scotland",441.7
"2008","Glasgow City",459.8
"2008","Scotland",462.6
"2009","Glasgow City",476.0
"2009","Scotland",472.8
"2010","Glasgow City",476.8
"2010","Scotland",488.0
"2011","Glasgow City",486.4
"2011","Scotland",485.0
"2012","Glasgow City",498.9
"2012","Scotland",497.7
"2013","Glasgow City",523.6
"2013","Scotland",508.7
"2014","Glasgow City",539.1
"2014","Scotland",519.6
"2015","Glasgow City",538.3
"2015","Scotland",527.0
"2016","Glasgow City",546.7
"2016","Scotland",534.5
"2017","Glasgow City",558.2
"2017","Scotland",546.6
"2018","Glasgow City",573.5
"2018","Scotland",563.1
"2019","Glasgow City",589.5
"2019","Scotland",577.0
"2020","Glasgow City",621.7
"2020","Scotland",592.2
"2021","Glasgow City",638.3
"2021","Scotland",620.7
"2022","Glasgow City",670.8
"2022","Scotland",640.5
"2023","Glasgow City",753.8
"2023","Scotland",709.2
"2024","Glasgow City",757.3
"2024","Scotland",739.7
"2025","Glasgow City",796.5
"2025","Scotland",773.8
