"DATE_NAME","GEOGRAPHY_NAME","OBS_VALUE"
"January 2000","Glasgow City",6.0
"January 2000","Scotland",4.1
"January 2001","Glasgow City",5.4
"January 2001","Scotland",3.6
"January 2002","Glasgow City",4.8
"January 2002","Scotland",3.4
"January 2003","Glasgow City",4.6
"January 2003","Scotland",3.3
"January 2004","Glasgow City",4.6
"January 2004","Scotland",3.2
"January 2005","Glasgow City",4.1
"January 2005","Scotland",2.9
"January 2006","Glasgow City",4.0
"January 2006","Scotland",2.7
"January 2007","Glasgow City",4.0
"January 2007","Scotland",2.6
"January 2008","Glasgow City",3.4
"January 2008","Scotland",2.2
"January 2009","Glasgow City",4.5
"January 2009","Scotland",3.2
"January 2010","Glasgow City",6.0
"January 2010","Scotland",4.2
"January 2011","Glasgow City",6.2
"January 2011","Scotland",4.2
"January 2012","Glasgow City",6.0
"January 2012","Scotland",4.3
"January 2013","Glasgow City",5.8
"January 2013","Scotland",4.1
"January 2014","Glasgow City",4.6
"January 2014","Scotland",3.3
"January 2015","Glasgow City",3.7
"January 2015","Scotland",2.4
"January 2016","Glasgow City",3.2
"January 2016","Scotland",2.2
"January 2017","Glasgow City",3.2
"January 2017","Scotland",2.3
"January 2018","Glasgow City",3.2
"January 2018","Scotland",2.4
"January 2019","Glasgow City",3.4
"January 2019","Scotland",2.9
"January 2020","Glasgow City",4.6
"January 2020","Scotland",3.2
"January 2021","Glasgow City",8.3
"January 2021","Scotland",6.0
"January 2022","Glasgow City",5.8
"January 2022","Scotland",3.9
"January 2023","Glasgow City",4.7
"January 2023","Scotland",3.1
"January 2024","Glasgow City",4.4
"January 2024","Scotland",3.0
"January 2025","Glasgow City",4.7
"January 2025","Scotland",3.0
"January 2026","Glasgow City",4.5
"January 2026","Scotland",2.9
