"DATE_NAME","GEOGRAPHY_NAME","CELL_NAME","OBS_VALUE"
"Jan 2004-Dec 2004","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",236600
"Jan 2004-Dec 2004","Glasgow City","T01:22 (Aged 16-64 - All : All People )",377400
"Jan 2004-Dec 2004","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2388800
"Jan 2004-Dec 2004","Scotland","T01:22 (Aged 16-64 - All : All People )",3289200
"Apr 2004-Mar 2005","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",237800
"Apr 2004-Mar 2005","Glasgow City","T01:22 (Aged 16-64 - All : All People )",377800
"Apr 2004-Mar 2005","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2397800
"Apr 2004-Mar 2005","Scotland","T01:22 (Aged 16-64 - All : All People )",3294400
"Jul 2004-Jun 2005","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",243400
"Jul 2004-Jun 2005","Glasgow City","T01:22 (Aged 16-64 - All : All People )",378200
"Jul 2004-Jun 2005","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2396800
"Jul 2004-Jun 2005","Scotland","T01:22 (Aged 16-64 - All : All People )",3299500
"Oct 2004-Sep 2005","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",240100
"Oct 2004-Sep 2005","Glasgow City","T01:22 (Aged 16-64 - All : All People )",379000
"Oct 2004-Sep 2005","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2404000
"Oct 2004-Sep 2005","Scotland","T01:22 (Aged 16-64 - All : All People )",3305000
"Jan 2005-Dec 2005","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",243100
"Jan 2005-Dec 2005","Glasgow City","T01:22 (Aged 16-64 - All : All People )",379100
"Jan 2005-Dec 2005","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2415500
"Jan 2005-Dec 2005","Scotland","T01:22 (Aged 16-64 - All : All People )",3310500
"Apr 2005-Mar 2006","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",237500
"Apr 2005-Mar 2006","Glasgow City","T01:22 (Aged 16-64 - All : All People )",378800
"Apr 2005-Mar 2006","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2418200
"Apr 2005-Mar 2006","Scotland","T01:22 (Aged 16-64 - All : All People )",3316200
"Jul 2005-Jun 2006","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",234100
"Jul 2005-Jun 2006","Glasgow City","T01:22 (Aged 16-64 - All : All People )",378700
"Jul 2005-Jun 2006","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2426600
"Jul 2005-Jun 2006","Scotland","T01:22 (Aged 16-64 - All : All People )",3320800
"Oct 2005-Sep 2006","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",236700
"Oct 2005-Sep 2006","Glasgow City","T01:22 (Aged 16-64 - All : All People )",380200
"Oct 2005-Sep 2006","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2432900
"Oct 2005-Sep 2006","Scotland","T01:22 (Aged 16-64 - All : All People )",3326300
"Jan 2006-Dec 2006","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",238700
"Jan 2006-Dec 2006","Glasgow City","T01:22 (Aged 16-64 - All : All People )",381000
"Jan 2006-Dec 2006","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2456300
"Jan 2006-Dec 2006","Scotland","T01:22 (Aged 16-64 - All : All People )",3331100
"Apr 2006-Mar 2007","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",242300
"Apr 2006-Mar 2007","Glasgow City","T01:22 (Aged 16-64 - All : All People )",382300
"Apr 2006-Mar 2007","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2464700
"Apr 2006-Mar 2007","Scotland","T01:22 (Aged 16-64 - All : All People )",3338000
"Jul 2006-Jun 2007","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",247000
"Jul 2006-Jun 2007","Glasgow City","T01:22 (Aged 16-64 - All : All People )",383300
"Jul 2006-Jun 2007","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2475600
"Jul 2006-Jun 2007","Scotland","T01:22 (Aged 16-64 - All : All People )",3345000
"Oct 2006-Sep 2007","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",248700
"Oct 2006-Sep 2007","Glasgow City","T01:22 (Aged 16-64 - All : All People )",383200
"Oct 2006-Sep 2007","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2482400
"Oct 2006-Sep 2007","Scotland","T01:22 (Aged 16-64 - All : All People )",3351600
"Jan 2007-Dec 2007","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",248600
"Jan 2007-Dec 2007","Glasgow City","T01:22 (Aged 16-64 - All : All People )",384900
"Jan 2007-Dec 2007","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2481900
"Jan 2007-Dec 2007","Scotland","T01:22 (Aged 16-64 - All : All People )",3359300
"Apr 2007-Mar 2008","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",255200
"Apr 2007-Mar 2008","Glasgow City","T01:22 (Aged 16-64 - All : All People )",386800
"Apr 2007-Mar 2008","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2491100
"Apr 2007-Mar 2008","Scotland","T01:22 (Aged 16-64 - All : All People )",3364700
"Jul 2007-Jun 2008","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",258200
"Jul 2007-Jun 2008","Glasgow City","T01:22 (Aged 16-64 - All : All People )",387600
"Jul 2007-Jun 2008","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2502300
"Jul 2007-Jun 2008","Scotland","T01:22 (Aged 16-64 - All : All People )",3369800
"Oct 2007-Sep 2008","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",258100
"Oct 2007-Sep 2008","Glasgow City","T01:22 (Aged 16-64 - All : All People )",389700
"Oct 2007-Sep 2008","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2505700
"Oct 2007-Sep 2008","Scotland","T01:22 (Aged 16-64 - All : All People )",3373900
"Jan 2008-Dec 2008","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",253300
"Jan 2008-Dec 2008","Glasgow City","T01:22 (Aged 16-64 - All : All People )",390600
"Jan 2008-Dec 2008","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2485000
"Jan 2008-Dec 2008","Scotland","T01:22 (Aged 16-64 - All : All People )",3378600
"Apr 2008-Mar 2009","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",251000
"Apr 2008-Mar 2009","Glasgow City","T01:22 (Aged 16-64 - All : All People )",392500
"Apr 2008-Mar 2009","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2480100
"Apr 2008-Mar 2009","Scotland","T01:22 (Aged 16-64 - All : All People )",3382300
"Jul 2008-Jun 2009","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",252300
"Jul 2008-Jun 2009","Glasgow City","T01:22 (Aged 16-64 - All : All People )",393800
"Jul 2008-Jun 2009","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2465100
"Jul 2008-Jun 2009","Scotland","T01:22 (Aged 16-64 - All : All People )",3386700
"Oct 2008-Sep 2009","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",250900
"Oct 2008-Sep 2009","Glasgow City","T01:22 (Aged 16-64 - All : All People )",394000
"Oct 2008-Sep 2009","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2452800
"Oct 2008-Sep 2009","Scotland","T01:22 (Aged 16-64 - All : All People )",3390400
"Jan 2009-Dec 2009","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",244600
"Jan 2009-Dec 2009","Glasgow City","T01:22 (Aged 16-64 - All : All People )",395700
"Jan 2009-Dec 2009","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2443000
"Jan 2009-Dec 2009","Scotland","T01:22 (Aged 16-64 - All : All People )",3394000
"Apr 2009-Mar 2010","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",243400
"Apr 2009-Mar 2010","Glasgow City","T01:22 (Aged 16-64 - All : All People )",395300
"Apr 2009-Mar 2010","Scotland","T01:28 (Aged 16-64 - In employment : All People )",2423000
"Apr 2009-Mar 2010","Scotland","T01:22 (Aged 16-64 - All : All People )",3398700
"Jul 2009-Jun 2010","Glasgow City","T01:28 (Aged 16-64 - In employment : All People )",243700
