"DATE_NAME","GEOGRAPHY_NAME","OBS_VALUE"
"2000","Glasgow City",1.04
"2000","Scotland",0.76
"2001","Glasgow City",1.09
"2001","Scotland",0.79
"2002","Glasgow City",1.09
"2002","Scotland",0.78
"2003","Glasgow City",1.09
"2003","Scotland",0.79
"2004","Glasgow City",1.11
"2004","Scotland",0.79
"2005","Glasgow City",1.15
"2005","Scotland",0.80
"2006","Glasgow City",1.11
"2006","Scotland",0.79
"2007","Glasgow City",1.10
"2007","Scotland",0.79
"2008","Glasgow City",1.14
"2008","Scotland",0.80
"2009","Glasgow City",1.10
"2009","Scotland",0.78
"2010","Glasgow City",1.02
"2010","Scotland",0.75
"2011","Glasgow City",1.02
"2011","Scotland",0.76
"2012","Glasgow City",1.01
"2012","Scotland",0.76
"2013","Glasgow City",0.94
"2013","Scotland",0.76
"2014","Glasgow City",1.07
"2014","Scotland",0.79
"2015","Glasgow City",1.07
"2015","Scotland",0.80
"2016","Glasgow City",1.09
"2016","Scotland",0.82
"2017","Glasgow City",1.08
"2017","Scotland",0.82
"2018","Glasgow City",1.08
"2018","Scotland",0.83
"2019","Glasgow City",1.08
"2019","Scotland",0.83
"2020","Glasgow City",1.07
"2020","Scotland",0.81
"2021","Glasgow City",1.08
"2021","Scotland",0.82
"2022","Glasgow City",
"2022","Scotland",0.82
"2023","Glasgow City",
"2023","Scotland",0.83
"2024","Glasgow City",
"2024","Scotland",0.83
