period,glasgow_male,glasgow_female,scotland_male,scotland_female
2001-03,69.05,76.41,73.5,78.86
2002-04,69.26,76.4,73.79,79.03
2003-05,69.89,76.65,74.23,79.22
2004-06,70.38,76.87,74.61,79.53
2005-07,70.7,76.98,74.81,79.67
2006-08,70.7,77.13,75.0,79.82
2007-09,71.13,77.37,75.35,80.02
2008-10,71.71,77.87,75.8,80.28
2009-11,72.15,78.25,76.23,80.6
2010-12,72.58,78.47,76.53,80.74
2011-13,72.98,78.49,76.8,80.9
2012-14,73.35,78.7,77.08,81.07
2013-15,73.36,78.85,77.12,81.13
2014-16,73.37,78.93,77.09,81.14
2015-17,73.35,78.73,77.02,81.08
2016-18,73.36,78.66,77.06,81.08
2017-19,73.6,78.5,77.16,81.14
