Local_Authority,Sub_Category,financial_year,ytd_q,Count
Aberdeen City,Rape,2021/22,Q1,23
Aberdeen City,Rape,2022/23,Q1,26
Aberdeen City,Rape,2023/24,Q1,23
Aberdeen City,Rape,2024/25,Q1,27
Aberdeen City,Rape,2025/26,Q1,33
Aberdeen City,Rape,2026/27,Q1,42
Aberdeenshire,Rape,2021/22,Q1,18
Aberdeenshire,Rape,2022/23,Q1,15
Aberdeenshire,Rape,2023/24,Q1,16
Aberdeenshire,Rape,2024/25,Q1,15
Aberdeenshire,Rape,2025/26,Q1,14
Aberdeenshire,Rape,2026/27,Q1,26
Moray,Rape,2021/22,Q1,12
Moray,Rape,2022/23,Q1,11
Moray,Rape,2023/24,Q1,11
Moray,Rape,2024/25,Q1,15
Moray,Rape,2025/26,Q1,12
Moray,Rape,2026/27,Q1,8
Perth & Kinross,Rape,2021/22,Q1,21
Perth & Kinross,Rape,2022/23,Q1,18
Perth & Kinross,Rape,2023/24,Q1,16
Perth & Kinross,Rape,2024/25,Q1,18
Perth & Kinross,Rape,2025/26,Q1,16
Perth & Kinross,Rape,2026/27,Q1,21
Angus,Rape,2021/22,Q1,11
Angus,Rape,2022/23,Q1,22
Angus,Rape,2023/24,Q1,5
Angus,Rape,2024/25,Q1,10
Angus,Rape,2025/26,Q1,19
Angus,Rape,2026/27,Q1,18
Dundee City,Rape,2021/22,Q1,19
Dundee City,Rape,2022/23,Q1,16
Dundee City,Rape,2023/24,Q1,28
Dundee City,Rape,2024/25,Q1,20
Dundee City,Rape,2025/26,Q1,37
Dundee City,Rape,2026/27,Q1,27
Highland,Rape,2021/22,Q1,20
Highland,Rape,2022/23,Q1,37
Highland,Rape,2023/24,Q1,26
Highland,Rape,2024/25,Q1,32
Highland,Rape,2025/26,Q1,40
Highland,Rape,2026/27,Q1,36
Orkney Islands,Rape,2021/22,Q1,3
Orkney Islands,Rape,2022/23,Q1,3
Orkney Islands,Rape,2023/24,Q1,3
Orkney Islands,Rape,2024/25,Q1,1
Orkney Islands,Rape,2025/26,Q1,3
Orkney Islands,Rape,2026/27,Q1,4
Shetland Islands,Rape,2021/22,Q1,3
Shetland Islands,Rape,2022/23,Q1,1
Shetland Islands,Rape,2023/24,Q1,1
Shetland Islands,Rape,2025/26,Q1,1
Shetland Islands,Rape,2026/27,Q1,3
Eilean Siar,Rape,2021/22,Q1,2
Eilean Siar,Rape,2022/23,Q1,5
Eilean Siar,Rape,2025/26,Q1,5
Stirling,Rape,2021/22,Q1,9
Stirling,Rape,2022/23,Q1,4
Stirling,Rape,2023/24,Q1,11
Stirling,Rape,2024/25,Q1,9
Stirling,Rape,2025/26,Q1,8
Stirling,Rape,2026/27,Q1,13
Falkirk,Rape,2021/22,Q1,20
Falkirk,Rape,2022/23,Q1,21
Falkirk,Rape,2023/24,Q1,23
Falkirk,Rape,2024/25,Q1,28
Falkirk,Rape,2025/26,Q1,27
Falkirk,Rape,2026/27,Q1,32
Clackmannanshire,Rape,2021/22,Q1,7
Clackmannanshire,Rape,2022/23,Q1,11
Clackmannanshire,Rape,2023/24,Q1,4
Clackmannanshire,Rape,2024/25,Q1,5
Clackmannanshire,Rape,2025/26,Q1,9
Clackmannanshire,Rape,2026/27,Q1,4
City of Edinburgh,Rape,2021/22,Q1,64
City of Edinburgh,Rape,2022/23,Q1,50
City of Edinburgh,Rape,2023/24,Q1,48
City of Edinburgh,Rape,2024/25,Q1,59
City of Edinburgh,Rape,2025/26,Q1,61
City of Edinburgh,Rape,2026/27,Q1,58
West Lothian,Rape,2021/22,Q1,33
West Lothian,Rape,2022/23,Q1,14
West Lothian,Rape,2023/24,Q1,19
West Lothian,Rape,2024/25,Q1,35
West Lothian,Rape,2025/26,Q1,26
West Lothian,Rape,2026/27,Q1,31
East Lothian,Rape,2021/22,Q1,23
East Lothian,Rape,2022/23,Q1,9
East Lothian,Rape,2023/24,Q1,9
East Lothian,Rape,2024/25,Q1,19
East Lothian,Rape,2025/26,Q1,8
East Lothian,Rape,2026/27,Q1,17
Midlothian,Rape,2021/22,Q1,8
Midlothian,Rape,2022/23,Q1,7
Midlothian,Rape,2023/24,Q1,3
Midlothian,Rape,2024/25,Q1,23
Midlothian,Rape,2025/26,Q1,21
Midlothian,Rape,2026/27,Q1,10
Scottish Borders,Rape,2021/22,Q1,18
Scottish Borders,Rape,2022/23,Q1,18
Scottish Borders,Rape,2023/24,Q1,18
Scottish Borders,Rape,2024/25,Q1,20
Scottish Borders,Rape,2025/26,Q1,15
Scottish Borders,Rape,2026/27,Q1,24
Fife,Rape,2021/22,Q1,77
Fife,Rape,2022/23,Q1,65
Fife,Rape,2023/24,Q1,63
Fife,Rape,2024/25,Q1,50
Fife,Rape,2025/26,Q1,90
Fife,Rape,2026/27,Q1,77
Glasgow City,Rape,2021/22,Q1,80
Glasgow City,Rape,2022/23,Q1,72
Glasgow City,Rape,2023/24,Q1,80
Glasgow City,Rape,2024/25,Q1,118
Glasgow City,Rape,2025/26,Q1,117
Glasgow City,Rape,2026/27,Q1,108
East Renfrewshire,Rape,2021/22,Q1,1
East Renfrewshire,Rape,2022/23,Q1,4
East Renfrewshire,Rape,2023/24,Q1,1
East Renfrewshire,Rape,2024/25,Q1,8
East Renfrewshire,Rape,2025/26,Q1,6
East Renfrewshire,Rape,2026/27,Q1,6
East Dunbartonshire,Rape,2021/22,Q1,5
East Dunbartonshire,Rape,2022/23,Q1,5
East Dunbartonshire,Rape,2023/24,Q1,1
East Dunbartonshire,Rape,2024/25,Q1,8
East Dunbartonshire,Rape,2025/26,Q1,13
East Dunbartonshire,Rape,2026/27,Q1,5
East Ayrshire,Rape,2021/22,Q1,9
East Ayrshire,Rape,2022/23,Q1,10
East Ayrshire,Rape,2023/24,Q1,16
East Ayrshire,Rape,2024/25,Q1,10
East Ayrshire,Rape,2025/26,Q1,12
East Ayrshire,Rape,2026/27,Q1,9
North Ayrshire,Rape,2021/22,Q1,11
North Ayrshire,Rape,2022/23,Q1,16
North Ayrshire,Rape,2023/24,Q1,9
North Ayrshire,Rape,2024/25,Q1,20
North Ayrshire,Rape,2025/26,Q1,18
North Ayrshire,Rape,2026/27,Q1,15
South Ayrshire,Rape,2021/22,Q1,5
South Ayrshire,Rape,2022/23,Q1,4
South Ayrshire,Rape,2023/24,Q1,17
South Ayrshire,Rape,2024/25,Q1,9
South Ayrshire,Rape,2025/26,Q1,5
South Ayrshire,Rape,2026/27,Q1,12
North Lanarkshire,Rape,2021/22,Q1,39
North Lanarkshire,Rape,2022/23,Q1,41
North Lanarkshire,Rape,2023/24,Q1,36
North Lanarkshire,Rape,2024/25,Q1,26
North Lanarkshire,Rape,2025/26,Q1,35
North Lanarkshire,Rape,2026/27,Q1,69
South Lanarkshire,Rape,2021/22,Q1,24
South Lanarkshire,Rape,2022/23,Q1,30
South Lanarkshire,Rape,2023/24,Q1,31
South Lanarkshire,Rape,2024/25,Q1,41
South Lanarkshire,Rape,2025/26,Q1,28
South Lanarkshire,Rape,2026/27,Q1,38
Argyll & Bute,Rape,2021/22,Q1,13
Argyll & Bute,Rape,2022/23,Q1,11
Argyll & Bute,Rape,2023/24,Q1,16
Argyll & Bute,Rape,2024/25,Q1,13
Argyll & Bute,Rape,2025/26,Q1,16
Argyll & Bute,Rape,2026/27,Q1,9
West Dunbartonshire,Rape,2021/22,Q1,13
