council,area_code,2014/15 %,2015/16 %,2016/17 %,2017/18 %,2018/19 %,2019/20 %,2020/21 %,2021/22 %,2022/23 %,2023/24 %,change_pp_2014-15_to_2023-24
Glasgow City,S12000049,27.1,29.5,29.6,30.9,31.0,32.2,29.4,32.0,32.9,36.1,9.0
Clackmannanshire,S12000005,24.2,25.5,26.0,27.3,26.1,27.3,23.9,28.3,29.2,28.5,4.3
Dundee City,S12000042,23.8,25.0,26.4,27.0,26.2,26.8,22.5,27.1,28.2,26.1,2.3
West Dunbartonshire,S12000039,23.4,24.5,25.1,26.9,26.3,26.8,23.4,27.6,28.0,25.2,1.8
Falkirk,S12000014,22.7,23.2,23.5,24.3,23.8,24.8,21.5,25.3,26.2,25.1,2.4
Fife,S12000047,23.6,25.0,25.0,26.0,25.5,26.4,22.1,26.1,26.6,25.0,1.4
North Lanarkshire,S12000050,23.9,25.5,25.2,26.3,25.5,26.5,23.2,26.6,26.9,24.9,1.0
Midlothian,S12000019,21.8,21.1,23.4,23.8,22.5,23.9,20.0,22.7,23.2,24.6,2.8
North Ayrshire,S12000021,24.8,26.5,26.2,27.4,27.1,27.9,24.7,29.0,29.2,24.3,-0.5
West Lothian,S12000040,21.3,22.1,23.0,23.8,22.9,24.6,21.1,23.9,24.6,24.1,2.8
Angus,S12000041,21.1,21.9,23.6,24.1,23.3,24.0,20.6,24.2,24.9,24.1,3.0
East Ayrshire,S12000008,24.4,26.1,25.8,26.6,26.8,27.3,24.0,27.2,27.9,23.6,-0.8
Moray,S12000020,20.8,22.0,23.1,23.2,21.9,23.4,21.3,24.1,23.9,23.0,2.2
City of Edinburgh,S12000036,18.6,18.8,20.7,21.3,18.9,20.3,17.2,19.5,20.4,22.8,4.2
Dumfries and Galloway,S12000006,23.3,25.3,24.8,26.4,25.0,26.7,22.9,26.0,26.9,22.7,-0.6
Inverclyde,S12000018,20.9,23.0,22.1,23.3,23.3,23.8,18.2,24.4,26.1,22.4,1.5
East Lothian,S12000010,21.9,22.5,23.4,24.7,22.7,24.5,18.9,21.1,21.3,22.1,0.2
Highland,S12000017,21.4,22.8,22.8,23.3,22.6,23.6,20.5,22.8,23.3,22.1,0.7
Scottish Borders,S12000026,20.9,22.5,23.2,23.9,22.5,24.2,19.5,23.4,23.6,21.5,0.6
Argyll and Bute,S12000035,20.7,22.2,22.7,23.9,22.5,23.3,18.9,21.7,23.5,21.2,0.5
Renfrewshire,S12000038,19.3,20.4,21.3,22.8,21.9,23.1,19.5,23.3,24.0,21.0,1.7
South Ayrshire,S12000028,22.7,23.5,24.2,24.6,24.6,24.8,20.6,24.4,25.0,20.7,-2.0
Stirling,S12000030,19.6,20.0,20.1,21.2,20.2,21.3,18.1,20.8,20.8,20.4,0.8
Na h-Eileanan Siar,S12000013,17.5,20.6,20.8,19.6,18.7,20.7,16.7,19.8,18.5,19.7,2.2
South Lanarkshire,S12000029,21.5,22.4,22.5,23.5,22.5,23.1,19.6,22.8,23.6,19.5,-2.0
Perth and Kinross,S12000048,19.9,21.2,21.4,22.4,21.1,22.6,18.7,21.9,21.7,19.2,-0.7
Aberdeen City,S12000033,18.7,19.5,21.3,22.3,21.1,21.3,18.3,20.5,21.8,19.1,0.4
Orkney Islands,S12000023,20.3,20.7,21.9,22.4,21.2,22.7,18.2,20.1,19.3,18.6,-1.7
Aberdeenshire,S12000034,15.6,16.6,17.4,17.6,15.7,16.7,14.2,16.0,16.5,15.0,-0.6
East Dunbartonshire,S12000045,15.2,15.9,16.9,16.6,14.8,16.3,12.5,14.9,15.7,14.9,-0.3
Shetland Islands,S12000027,13.3,15.2,16.0,17.1,14.4,15.8,18.7,15.4,16.4,14.5,1.2
East Renfrewshire,S12000011,15.0,15.6,15.5,15.5,14.6,15.8,12.8,14.4,14.0,12.0,-3.0
