council,council_slug,applications_2025_26,decisions_2025_26,awards_2025_26,rejections_2025_26,acceptance_rate_2025_26_pct,acceptance_rank_of_32,scotland_acceptance_rate_2025_26_pct,difference_from_scotland_percentage_points,acceptance_rate_2024_25_pct,annual_change_percentage_points,acceptance_rate_2023_24_pct,acceptance_rate_2022_23_pct,acceptance_rate_2021_22_pct,crisis_grant_spend_2025_26_gbp,average_award_2025_26_gbp,latest_quarter_processed_by_end_next_working_day_pct,source_url,notes
"Inverclyde","inverclyde",1975,1980,1765,210,89,1,65,24,84,5,77,82,83,251670,145,97,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Angus","angus",3780,3790,2990,800,79,2,65,14,79,0,75,82,88,300683,100,98,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Dundee City","dundee-city",4285,4285,3350,935,78,3,65,13,75,3,76,76,76,338560,100,96,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Scottish Borders","scottish-borders",2570,2565,1950,615,76,4,65,11,67,9,63,74,73,214885,110,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Fife","fife",25670,25550,18555,6995,73,5,65,8,70,3,69,71,74,2606067,140,98,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"East Dunbartonshire","east-dunbartonshire",3645,3645,2630,1015,72,6,65,7,69,3,74,71,69,419064,160,100,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"East Renfrewshire","east-renfrewshire",2035,2035,1475,560,72,6,65,7,76,-4,80,79,85,218912,150,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Dumfries and Galloway","dumfries-and-galloway",6910,6900,4770,2130,69,8,65,4,69,0,68,69,68,597515,125,97,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"Na h-Eileanan Siar","na-h-eileanan-siar",310,315,215,95,69,8,65,4,71,-2,75,71,72,38614,180,99,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
"North Lanarkshire","north-lanarkshire",19985,19645,13525,6115,69,8,65,4,60,9,65,65,67,2078879,155,97,"https://www.gov.scot/publications/scottish-welfare-fund-statistics-update-to-31-march-2026/","Council figures are rounded; acceptance is awards divided by decided applications; latest-quarter processing covers January to March 2026; rates do not explain why councils differ."
